iter	Passed	Remaining
0	12	1036
1	14	563
2	15	403
3	16	322
4	28	437
5	30	380
6	31	335
7	32	301
8	33	275
9	35	253
10	36	234
11	37	218
12	42	226
13	44	214
14	45	202
15	46	192
16	47	182
17	49	174
18	50	166
19	51	159
20	52	153
21	53	146
22	54	140
23	55	135
24	72	164
25	73	158
26	75	153
27	76	147
28	77	141
29	78	136
30	79	131
31	81	126
32	82	122
33	83	118
34	84	113
35	86	109
36	87	106
37	89	103
38	90	99
39	91	96
40	92	92
41	93	88
42	94	85
43	95	82
44	96	79
45	97	76
46	99	73
47	100	71
48	101	68
49	102	65
50	104	63
51	105	60
52	106	58
53	107	55
54	108	53
55	109	50
56	111	48
57	112	46
58	113	44
59	114	42
60	115	39
61	116	37
62	118	35
63	119	33
64	129	33
65	130	31
66	132	29
67	133	27
68	134	25
69	135	23
70	136	21
71	138	19
72	139	17
73	140	15
74	141	13
75	142	11
76	144	9
77	145	7
78	146	5
79	147	3
80	149	1
81	150	0
